Video Duration,Video Publish Time,Days Since Publish,Day,Month,Year,Day of Week,Revenue per 1000 Views (USD),Monetized Playbacks (Estimate),Playback-Based CPM (USD),CPM (USD),Ad Impressions,Estimated AdSense Revenue (USD),DoubleClick Revenue (USD),YouTube Ads Revenue (USD),Watch Page Ads Revenue (USD),YouTube Premium (USD),New Comments,Shares,Like Rate (%),Dislikes,Likes,Unsubscribes,New Subscribers,End Screen Click-Through Rate (%),End Screen Impressions,End Screen Clicks,Teaser Click-Through Rate (%),Teaser Impressions,Teaser Clicks,Card Click-Through Rate (%),Card Impressions,Card Clicks,Views per Playlist Start,Playlist Views,Playlist Watch Time (hours),Clip Watch Time (hours),Clip Views,YouTube Premium Watch Time (hours),YouTube Premium Views,Watched (Not Skipped) (%),Feed Impressions,Average View Percentage (%),Average View Duration,Views,Watch Time (hours),Subscribers,Estimated Revenue (USD),Impressions,Video Thumbnail CTR (%),Net_Subscriber_Change,Churn_Label,Publish_Weekday,Publish_Month,Publish_Season,Day_sin,Day_cos,Like_Rate,Comment_Rate,Share_Rate,Sub_Conversion_Rate,Unsub_Rate,CPM_Drift,Revenue_Efficiency,Ad_Density,Premium_Watch_Share,Engagement_Depth,Retention_Rate,Dropoff_Index,SubLoss_Weight,Predicted_Prob,Predicted_Label,Engagement_Tier,Revenue_Tier,Cohort,Engagement_Stability_Index,ESI_Tier
201,2016-06-02,0,2,6,2016,Thursday,0.024,723.0,1.386,1.021,981.0,0.527,0.024,1.002,0.551,0.01,91.0,12.0,96.86,30.0,924.0,3.0,54.0,4.35,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333,10.0,0.2974,0.1575,10.0,2.5358,152.0,0.0,0.0,40.38,81.0,23531.0,533.1636,51.0,0.561,41118.0,27.66,51.0,1,3,6,Summer,0.39435585511331855,0.9189578116202306,0.03926734943722436,0.0038672389597266417,0.00050996557710681,0.0022948450969806447,0.0001274913942767025,0.365,2.3840890729743367e-05,0.04168968592848171,0.00475613855191655,0.402985054577858,0.40380000000000005,100.2022272074074,5.3150761859799575e-06,0.9313431,1,Low,Low,Low_Low,0.4456672501354407,Low
391,2016-06-10,8,10,6,2016,Friday,0.056,727.0,1.612,1.361,861.0,0.635,0.009,1.172,0.645,0.004,35.0,5.0,94.71,18.0,322.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,0.5187,0.0,0.0,0.8911,32.0,0.0,0.0,39.85,156.0,11478.0,500.5628,33.0,0.648,41627.0,5.85,33.0,0,4,6,Summer,0.8978045395707416,-0.4403941515576344,0.028053667861950106,0.0030493117241250116,0.0004356159605892874,0.002962188532007154,8.712319211785747e-05,0.2510000000000001,5.6455828492371645e-05,0.07501306841347528,0.0017801961755808428,0.3989769718931721,0.3985,99.88045127243589,6.535377970737193e-06,0.49612802,0,Low,Low,Low_Low,0.633215759048611,Medium
133,2016-06-14,4,14,6,2016,Tuesday,0.014,76.0,2.105,1.818,88.0,0.088,0.0,0.16,0.088,0.001,0.0,4.0,92.28,20.0,239.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.1683,0.0,0.0,0.1838,28.0,0.0,0.0,30.88,41.0,6153.0,70.7287,8.0,0.089,38713.0,7.07,8.0,0,1,6,Summer,0.29936312297335804,-0.9541392564000488,0.03884284082749417,0.0,0.000650089386234212,0.001300178772468424,0.0001,0.2869999999999999,1.4464488843711215e-05,0.014301966497152664,0.0025986618446738243,0.3082706535134847,0.30879999999999996,100.17171484878048,0.0,0.074090324,0,Low,Low,Low_Low,0.33157080391837024,Low
14,2016-06-29,15,29,6,2016,Wednesday,0.004,18.0,1.667,0.857,35.0,0.016,0.0,0.03,0.016,0.0,12.0,7.0,94.02,14.0,220.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6667,20.0,0.064,0.0,0.0,0.0711,20.0,0.0,0.0,103.05,14.0,4398.0,17.6251,2.0,0.017,35245.0,5.6,2.0,0,2,6,Summer,-0.3943558551133187,0.9189578116202306,0.0500227374942639,0.0027285129542325764,0.0015916325566356696,0.00045475215903876274,0.0001,0.81,3.865393351829484e-06,0.007958162783178348,0.004034017376345452,0.9999992857147959,1.0305,103.05007360714285,0.0,0.02886352,0,High,Low,High_Low,1.27206426852129,Medium
45,2016-07-01,2,1,7,2016,Friday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,76.98,180.0,602.0,3.0,31.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6667,10.0,0.0611,0.0,0.0,0.2519,39.0,0.0,0.0,55.7,25.0,14659.0,104.3341,28.0,0.0,46218.0,8.62,28.0,1,4,7,Summer,0.20129852008866006,0.9795299412524945,0.041066921317233836,0.0034108738635576273,0.00047752234089806783,0.002114741795405729,0.00020465243181345765,0.0001,0.0,0.0,0.0024143590241005554,0.5555554320987929,0.557,100.26002228,0.0,0.8863204,1,High,Low,High_Low,1015.7292158708393,High
496,2016-07-08,7,8,7,2016,Friday,0.036,491.0,1.122,0.819,673.0,0.291,0.012,0.551,0.303,0.002,27.0,3.0,94.46,17.0,290.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.513,0.0,0.0,0.513,22.0,0.0,0.0,36.7,182.0,8415.0,425.4773,19.0,0.305,40395.0,5.09,19.0,0,4,7,Summer,0.9987165071710528,-0.05064916883871264,0.03446226971543402,0.0032085561459197194,0.0003565062384355244,0.0023767082562368294,0.00011883541281184146,0.30300000000000016,3.624480090761165e-05,0.0799762328223693,0.00120570471783795,0.3669354764730751,0.36700000000000005,100.01758443406592,9.5040086425822e-06,0.47502568,0,Low,Low,Low_Low,0.4442657602660038,Low
9,2016-08-05,28,5,8,2016,Friday,0.001,32.0,0.125,0.093,43.0,0.002,0.0,0.004,0.002,0.0,16.0,14.0,94.97,8.0,151.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0208,0.0,0.0,0.0439,20.0,0.0,0.0,117.3,10.0,4330.0,12.6979,4.0,0.003,34250.0,4.67,4.0,0,4,8,Summer,0.8486442574947509,0.5289640103269624,0.034872979134242546,0.0036951501069396073,0.0032332563435721563,0.0009237875267349018,0.0001,0.032,6.928406450511764e-07,0.009930715912400195,0.003457261864354055,1.1111098765445817,1.173,105.57011729999999,0.0,0.03049236,0,High,Low,High_Low,40.602239413918824,High
34,2016-08-08,3,8,8,2016,Monday,0.015,404.0,0.683,0.462,597.0,0.147,0.004,0.276,0.152,0.0,33.0,37.0,97.57,11.0,441.0,0.0,24.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,11.0,0.0995,0.0,0.0,0.2952,37.0,0.0,0.0,101.52,35.0,10048.0,98.9192,24.0,0.152,39866.0,7.31,24.0,0,0,8,Summer,0.9987165071710528,-0.05064916883871264,0.04388933116651141,0.003284235665521262,0.0036823248370995974,0.002388535029470009,0.0001,0.22100000000000003,1.5127388519976724e-05,0.05941480885806647,0.002984253513549087,1.0294114619378052,1.0151999999999999,98.61945757714287,0.0,0.0119219115,0,High,Low,High_Low,4.726632818449841,High
11,2016-08-11,3,11,8,2016,Thursday,0.006,127.0,0.724,0.451,204.0,0.051,0.0,0.092,0.051,0.0,37.0,21.0,93.77,16.0,241.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6667,11.0,0.0304,0.0,0.0,0.0643,27.0,0.0,0.0,75.52,8.0,8188.0,18.8953,14.0,0.051,37186.0,6.83,14.0,0,3,8,Summer,0.7907757369376989,-0.6121059825476626,0.029433317013393606,0.0045188080062056575,0.0025647288683869948,0.0017098192455913298,0.0001,0.27299999999999996,6.228627251796987e-06,0.024914509007187946,0.0034029608405472048,0.7272720661163036,0.7552,103.84009439999998,0.0,0.009929784,0,High,Low,High_Low,2.0111163102564356,High
14,2016-08-12,1,12,8,2016,Friday,0.014,44.0,2.591,1.5,76.0,0.06,0.002,0.114,0.063,0.0,15.0,3.0,90.98,12.0,121.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0536,0.0,0.0,0.06,20.0,0.0,0.0,91.03,13.0,4389.0,16.647,5.0,0.063,33920.0,4.36,5.0,0,4,8,Summer,0.6513724827222223,-0.758758122692791,0.02756892224295074,0.003417634988795546,0.0006835269977591092,0.0011392116629318487,0.0001,1.0910000000000002,1.4354066952941292e-05,0.017316017276564098,0.003604250853456567,0.9285707653065962,0.9103,98.03237771538461,0.0,0.01627172,0,High,Low,High_Low,0.7747025640716656,Medium
